Unit	Page	Verses	Attributions	Biblical	Comment
135	13r	Rom.2.21-Rom.2.22	λε  	ὁ οὖν διδάσκων ἕτερον σεαυτὸν οὐ διδάσκεις ὁ κηρύσσων μὴ κλέπτειν κλέπτεις ὁ λέγων μὴ μοιχεύειν μοιχεύεις 	εἶτα ἀκολουθον ἦν εἰπεῖν ὅτι οἱ τὰ τοιαῦτα παρὰ θεοῦ λαβόντες καὶ μὴ φυλάττοντες αυτὰ μείζονος ἔσονται τιμωρίας ἔνοχοι ὅσω καὶ ἐν γνώσει ἡ ἁμαρτία ἀλλὰ τέως οὐ σφόδρα αὐτῶν καθάπτεται ἀλλὰ κατ' ἐρώτησιν προάγων τὸν λόγον τοῦτο αὐτο ἐνδείκνυται 
135ex	13r	Rom.2.22	*  		αποφατικως ἀνάγνωθι 
136	13v	Rom.2.22	λϛ  	ὁ βδελυσσόμενος τὰ εἴδωλα ἱεροσυλεῖς 	ὁ μὲν νόμος καὶ τὰ ἐν τοῖς εἰδώλοις χρήματα βδελυκτὰ εἶχεν διὰ τὸ δαίμοσιν ἀνατεθῆναι ὑμεῖς δέ φησι τὰ μὲν εἴδωλα βδελύσσεσθε φατὲ τὰ δὲ ἐπ' αὐτοῖς χρήματα ἀρπάζετε ἄρα οὖν οὐδε τὰ εἴδωλα κατὰ ἀλήθειαν βδελύσσεσθε 
136Ph	13v	Rom.2.22	Φωτ(ιου)  s 	ὁ βδελυσσόμενος τὰ ειδολα ἱεροσυλεῖς 	εἰ γάρ τις βδελύσσεται τὰ εἴδωλα ὡς τῶν οἰκείων ἐθῶν καὶ νομίμων καὶ ἱερῶν ἀκριβὴς φύλαξ ἔπειτα τὰ οἰκεῖα ἱερὰ ἀποσυλᾷ πόσης οὗτος οὐκ ἔστιν ἄξιος τιμωρίας δι' ὧν μὲν προσποιεῖται ἀποστρέφεσθαι τὰ εἴδωλα τιμᾶν καὶ περιπτύσσεσθαι δοκῶν τὴν οἰκείαν λατρείαν καὶ τὰ περὶ αὐτὴν ἱερὰ δι' ὧν δὲ τολμηρὰν καὶ κλέπτουσαν χεῖρα ἐπαφίησιν αὐτοῖς μᾶλλον τῶν εἰδώλων ἐξυβρίζων καὶ εἰς τὸ μηδὲν ἡγούμενος αὐτὰ παραπλήσιος ἐστιν οὗτος ὡς ἀληθῶς τῷ λέγοντι μὲν ἑτέροις μὴ δεῖ κλέπτειν πράττοντι δὲ τὰ τῶν κλεπτόντων ὥσπερ γὰρ ἐκεῖνος ἐναντία τοῖς λόγοις διὰ τῶν ἔργων πράττων ἐπιδείκνυται οὕτω καὶ οὗτος ἐναντία τοῦ βδελύσσεσθαι τὰ εἴδωλα δι' ὧν ἱεροσυλεῖ διαπράττεται διὰ τῆς εἰς τὰ ἱερὰ κλοπῆς καὶ ὕβρεως θεραπεύων τοὺς δαίμονας ὧν ἦσαν τὰ εἴδωλα οἰκητήρια 
137	13v	Rom.2.23	λζ  	ὃς ἐν νόμωι καυχᾶσαι δα τῆς παραβάσεως τοῦ νόμου τὸν θεὸν ἀτιμάζεις 	καυχᾶσαι ὡς τιμηθεὶς παρὰ τοῦ θεοῦ διὰ τὸν νόμον τι τοίνυν τῆι παραβάσει ἀτιμάζεις τὸν νόμον καὶ συνατιμάζεις τὸν θεόν 
138	13v	Rom.2.24	λη *  	τὸ γάρ 	ἐπειδὴ βαρὺ εἶπεν ὅτι τὸν θεὸν ἀτιμάζεις τὸν προφήτην παράγει μάρτυρα ὡς εἰ εἶπεν οὐκ ἐμὸς ὁ λόγος ἀλλὰ τοῦ Ησασιου 
139	13v	Rom.2.24	λθ *  	ὄνομα τοῦ θεοῦ 	οἱ γὰρ ἐξ ἐθνῶν ὁρῶντες αὐτοὺς κακῶς πολιτευομένους εἰς βλασφημίας ἐξεφέροντο τούτους λέγοντες ἔδει αγαπησαι τὸν θεὸν ἡ δοῦναί τι αὐτοῖς οὐκ ᾔδει κακοὺς ὄντας καὶ ἐσομένους 
140	13v	Rom.2.24	μ *  	δι' ὑμᾶς βλαφθημειται ἐν τοῖς ἔθνεσι καθὼς γέγραπται 	οὐ μόνον φησι ὑμεῖς ἀτιμάζετὲ τὸν θεὸν ἀλλὰ καὶ ἄλλοις προσφασιν παρέχετε 
141	13v	Rom.2.25	μα *  	περιτομὴ μὲν γὰρ ὠφελεῖ εὰν νόμον πράσσῃς εὰν δὲ παραβάτης νόμου ἧς 	ἐπειδὴ μέγα τι ἐδοκει ἡ περιτομὴ τελευταῖον ἐπ' αὐτὴν ἦλθε καί φησιν ἂλλ ἐρεῖτε μέγα καὶ ὠφέλιμον τι χρῆμα ἡ περιτομὴ εἰσκρίνει γὰρ τῶι λαῶι τοῦ θεοῦ Ναί φησι ὁμολογῶ ἀλλὰ τότε ὅταν νόμον πράσσῃς 
142	14r	Rom.2.25	μβ  	ἡ περιτομή σου 	βούλεται δεῖξαι ὅτι περιτομὴ ἐστιν ὃν τῆι ἧς τύπος ἡ αἰσθητὴ τὸ κεκαθάρθαι καὶ τὰ περιττὰ περιτετμῆσθαι περιττὸν δὲ πᾶν ὅσον οὐ φίλον θεῶι ἐκ δὴ τούτου ἐστι τις ἀκροβυστος μὲν τὸ σῶμα τὴν δὲ τοιαύτην ἔχων περιτομὴν καὶ πάλιν ἐμπερίτομος μὲν τὸ σῶμα ἀκροβυστος δὲ τὴν ψυχὴν ἀκροβυστία γὰρ καὶ περιτομὴν τὴν ἀληθῆ δηλονότι αἱ αγαθαι καὶ πονηρᾶι πράξεις χαρακτηρίζουσιν 
142Pha	14r	Rom.2.25	Φωτ(ιου) *  		ἐὰν δὲ παραβάτης ἧς ἡ περιτομή Ἐπεὶ οὖν σημεῖον ἐστιν ἡ περιτομὴ παθῶν ἐκκοπῆς ἥτις οὐκ ἐκκέκοπται τὰ πάθη δηλονότι ἀκροβυστος ἐστι κἂν τὸ σημεῖον ἐπὶ τοῦ σώματος φέρῃ τοὐναντίον γὰρ οὐ μόνον οὐδὲν ὠφελεῖται οὗτος ἀλλὰ καὶ πλέον βλάπτεται ψευδόμενός τε κατὰ τῆς ἀληθοῦς περιτομῆς ἧς ἦν σύμβολον ἡ κατὰ σάρκα καὶ αὐτὴν ταύτην ὑβρίζων ὡς ἄχρηστον ποιῶν καὶ μηδὲν σημαίνουσαν ὧν ἐδοθη σημεῖον εἶναι εἰ δέ τις ἐκκέκοπται τὰ πάθη κἂν τὸ σημεῖον οὐκ ἐντετύπωται τῇ σαρκὶ οὐδὲν ἧττον περιτέτμηται τὴν ἀληθινὴν περιτομὴν εἰ μὴ καὶ μᾶλλον ὅσῳ μηδὲ δεηθεὶς τῆς αἰσθητῆς ἥτις χάριν παρελαμβάνετο μνήμης καὶ σύμβολο 
142Phb	14r	Rom.2.25	εις του αυτου  		Ἡ περιτομή σου ἀκροβυστία γέγονεν τοῦτ' ἔστι βδελυκτὸν κατὰ τὸν ἐκείνων νοῦν βδελυκτὸν γὰρ ἐκεῖνοι τὸν ἀκροβυστον ἡγοῦντο ἐὰν οὖν φησὶν οὐ φυλάττῃς οὐδὲ πράττῃς τὰ τοῦ νόμου ἡ περιτομή σου ὅπερ ἦν θεάρεστον γέγονε βδελυκτὸν καὶ ἀποβλητον ἐὰν δὲ ὁ ἀκροβυστος τὰ δικαιώματα φυλάττῃ τοῦ νόμου ἡ ἀκροβυστία αὐτοῦ ὅπερ ἦν βδελυκτὸν θεάρεστον καὶ θεοφιλὲς λογισθήσεται αὐτῷ τῷ νομοθέτῃ καὶ δημιουργῷ καὶ τοσοῦτον θεάρεστον καὶ ἀποδεκτον ὅσον καὶ σὲ διὰ αὐτοῦ ἐλέγχεσθαι καὶ κατακρίνεσθαι σκοπεῖ δὲ πῶς σοφῶς καὶ δριμέως φησὶν ἐὰν οὖν ἡ ἀκροβυστία τὰ δικαιώματα τοῦ νόμου φυλάσσῃ καὶ οὐκ εἶπε τὸν νόμον φυλάττῃ ἵνα γὰρ μὴ εἴπῃ ὁ Ἰουδαῖος καὶ πῶς ἔνι τὸν ἀκροβυστον φυλάττειν τὸν νόμον αὐτῷ τούτῳ παραβαίνοντα τῷ ἀκροβυστον εἶναι ἵνα οὖν μηδ' ἐν τούτῳ δῷ αὐτοῖς λαβὴν οὐχ οὕτως φησὶν ἀλλὰ τὰ δικαιώματα τοῦ νόμου καὶ ἐπὶ μὲν αὐτῶν ἐκείνων τὸν νόμον φησὶν ἐπὶ δὲ τῶν ἀκροβύστων τὰ δικαιώματα τοῦ νόμου οὐ πάντα φησὶ τὸν νόμον εἶπον ἀλλὰ τὰ δικαιοῦντα μόνα ἅμα σοφῶς ὑπεμφαίνων ὅτι οὐ πάντα τὰ ἐν τῷ νόμῳ ἦσαν δικαιοῦντα ἀλλὰ τὰ μὲν δικαιώματα ἦσαν καὶ ἐδικαίου ὅσα συνεφώνει τῇ χάριτι τὰ δὲ ἕνεκα μόνης τῆς ἐκείνων ἀσθενείας ἦσαν δεδομένα 
143	14r	Rom.2.25-Rom.2.26	μγ  	ἀκροβυστία γέγονεν εὰν οὖν ἡ ἀκροβυστία τὰ δικαιώματα τοῦ νόμου φυλάσσῃ 	εἰς νοητὴν ἀκροβυστίαν φησι μετὰ πεφοιτηκεν σου ἡ περιτομὴ διά σε τὸν κακῶς χρώμενον τέως γὰρ οὐ βούλεται φανερῶς ἀτιμάσαι τὴν περιτομήν 
144	14r	Rom.2.26	μδ  	οὐχὶ ἡ ἀκροβυστία αὐτοῦ εἰς περιτομήν 	τουτέστιν οἱ τὴν ἀκροβυστίαν ἔχοντες ἐθνικοί 
145	14r	Rom.2.26	με  	λογισθήσεται 	οὐκ εἶπεν ὅτι νίκα περιτομὴν τέως γὰρ επαχθεσεν ἦν ἂλλ ὅτι εἰς περιτομὴν λογισθήσεται παρὰ θεῶι δηλονότι 
146	14r	Rom.2.27	μϛ  	καὶ κρίνει 	τουτέστι κατάκρινει ὡς καὶ εἴρηται ἄνδρες Νινευῖται ἀναστήσονται καὶ κρινοῦσι τὴν γενεὰν ταύτην 
146Ph	14r	Rom.2.27	Φωτ(ιου) *  		οὐχὶ ἡ ἀκροβυστία αὐτοῦ εἰς περιτομὴν λέγει καὶ κρίνει ἐλέγξει σε φησὶν ὁ τὸ σημεῖον μὲν μὴ ἔχων τὰ δὲ τοῦ σημείου κατορθώσας ὡς μὴ κατορθώσαντα καίτοι δέον ἐπεὶ καὶ ὑπέσχου διὰ τοῦ σημείου μᾶλλον ἐκείνου τὸ κατόρθωμα ἐπιδεικνύναι 
147	14v	Rom.2.27	μζ  	ἡ ἐκ φύσεως ἀκροβυστία τὸν νόμον τελοῦσα 	ἐκ φύσεως ἀκροβυστίαν λέγει τὸν ἐν σαρκὶ ἀκροβυστον οὗτος τοιγαροῦν πληρῶν τὰ ἀπὸ τοῦ νόμου κατάκρινει σε τὸν περιτομὴν ἔχοντα καὶ ὅσον ἧκεν εἰς τὸ γράμμα τὸν νόμον ταῖς δὲ πράξεσι παραβαίνοντα αὐτον 
147Ph	14v	Rom.2.27	Φωτ(ιου) *  		Τὸν νόμον τελοῦσα κατ' ἐκεῖνο δηλονότι καθὸ τὰ δικαιώματα αὐτοῦ φυλάττει σκοπεῖ δὲ πρῶτον μὲν δικαιώματα νόμου εἰπὼν καὶ οὐκ αὐτὸν τὸν νόμον νῦν αὐτὸν τὸν νόμον τελεῖν φησιν ὑποδηλῶν ὅτι ταῦτὰ ἐστι κυρίως νόμος ἡ δὲ περιτομὴ καὶ τὰ τοιαῦτα οὐδὲ κυρίως νόμος 
148	14v	Rom.2.27-Rom.2.28	μη  	σε τὸν διὰ γράμματος καὶ περιτομῆς παραβάτην νόμου οὐ γὰρ ὁ ἐν τῶι φανερῶι Ἰουδαῖὸς ἐστι οὐδε ἡ ἐν τῶι φανερῶι ἐν σαρκί 	διὰ γὰρ νόμου γραπτοῦ καὶ περιτομῆς προαχθεὶς ἐγένου πάντων παραβάτης 
148ex	14v	Rom.2.28	 		λοιπὸν ὁρίζει τις ὁ ὄντως Ἰουδαῖος καί τις ὁ ὄντως ἀκροβυστος καὶ δοκεῖ μὲν μὴ ἐκβάλλειν τὸν Ἰουδαῖον ἀλλὰ τὸν παραβάτην πολὺ δὲ καταβαλλει αὐτοὺς σημαίνων πάντα πρὸς ἐπίδειξιν αὐτοὺς ποιοῦντας 
149	14v	Rom.2.28	μθ  	περιτομή 	τοῦτο εἰπὼν ἐξέβαλε τὰ σωματικα πάντα 
150	14v	Rom.2.29	ν  	ἂλλ ὁ ἐν τῶι κρυπτῷ Ἰουδαῖος 	οἷον ὁ νοητος 
151	14v	Rom.2.29	να  	καὶ περιτομή 	οὐ γὰρ χρεία φησι τὴν σαρκικὴν περὶ τεμνειν ἀκροβυστίαν ἀλλὰ τὴν καρδίαν ἐκ τῶν κακῶν πράξεων εἰπὼν δὲ ἐν πνεύματι προδοποιεῖ τῆι πίστει οἱ γὰρ πιστοὶ διὰ πνεύματος ἁγίου τὴν περιτομὴν ἔχουσι τῶν ἁμαρτιῶν 
152	14v	Rom.2.29	[v]β  	καρδίας ἐν πνεύματι οὐ γράμματι οὐ ὁ ἔπαινος οὐκ ἐξ ἀνθρώπων 	ὁ τὴν καρδίαν φησι περιτετμημένος ἀπὸ πάσης ἀκαθαρσίας οὗτος γὰρ ἀληθῶς Ἰουδαῖος ὁ τὸν νόμον πληρῶν 
153	14v	Rom.2.29	νγ *  	ἂλλ ἐκ τοῦ θεοῦ 	τῆς γὰρ κρυπτεις καὶ ἐν καρδίαι περιτομῆς οὐκ ἔσται ἐπαινέτης ἄνθρωπος ἂλλ ὁ ἐτάζων καρδίας καὶ νεφροὺς θεός 
154	14v	Rom.3.1	νδ *  	τι οὖν τὸ περισσὸν τοῦ Ἰουδαίου ἡ τις ἡ ὠφέλεια τῆς περιτομῆς 	αντιτιθησιν ἑαυτῶι εἰ οὖν φησι κατὰ τὸν σὸν λόγον οὐδὲν ὠφελεῖ οὔτε τὸ είναι Ἰουδαῖον οὔτε τὸ περιτέμνεσθαι ἀλλὰ καὶ βλαπτει ὡς οἱ παραβαίνοτες μείζονος εἰσι τιμωρίας ἄξιοι τι δή ποτε ἡμᾶς καὶ ἐξελέξατο ὁ θεὸς διατὶ δὲ καὶ περιτέμνεσθαι προσέταξεν ἦν μὲν οὖν πρὸς τὴν ἀντίθεσιν εἰπεῖν ὅτι τύπος ἦν ἡ περιτομὴ ταύτης τῆς διὰ πίστεως ἐν πνεύματι περιτομῆς καὶ ὁ Ἰουδαῖος τοῦ νοητοῦ Ἰουδαίου τοῦ ἐξομολογουμένου θεῶι Ἰούδας γὰρ ἐξομολόγησις ἑρμηνεύεται ἀλλὰ ταύτην τέως ἀφεὶς τὴν λύσιν ἀπαράδεκτον είναι ἔτι οὖσαν εἰς ἑτέραν ἦλθεν ὅτι ὠφελεῖ ὁ Ιουδαισμος κατὰ τοῦτό φησιν ἔμαθον ὁδὸν σωτηρίας ἔλαβον νόμον ὁδηγὸν τῶν πρακτέων εἰ δὲ μὴ ἐφύλαξαν ἑαυτοῖς μεμφέσθωσαν ἐμοι γὰρ τέως φησι πρὸς τοὺς μὴ παραβαίνοντας ὁ λόγος 
154ex	14v	Rom.3.1	 s 	τι οὖν τὸ περισσὸν τοῦ ἰουδαίου ἡ τις ἡ ὠφέλεια τῆς περιτομῆς 	τὴν Ιουδαικην καταστείλας ὀφρὺν καὶ δείξας μάτην αὐτοὺς ἐπὶ τῆι περιτομῆι καὶ τῶι νόμωι καὶ τῆι ἰουδαίου προσηγορία μεγαλαυχομενους ἵνα μή τις ὑπολάβη δυσμενείαι τοῦτο καὶ ἀπεχθείαι ποιεῖν ἐπάγει Τι τὸ περισσὸν τοῦ Ἰουδαίου ἡ τις ἡ ὠφέλεια τῆς περιτομῆς Εἰ τῶν ἀλλοφύλων φησιν ἐθνῶν τινες θεοσεβείᾳ καὶ ἀρετῆι κοσμούμενοι τῶν θείων ἀναῤῥήσεων απολαβουσι τι δή ποτε τῶν ἐθῶν εχωρισε τὸν Ἰσραὴλ ὁ θεὸς καὶ τὴν περιτομὴν αὐτοῖς δέδωκεν Τὸ γὰρ περσσον τοῦ Ἰουδαίου τὴν περιτομὴν λέγει Εἶτα ἐπάγει Πολὺ κατὰ πάντα τρόπον Ἐξελέξατο γὰρ αὐτῶν τοὺς προγόνους τῆς Αἰγυπτίων ἠλευθέρωσε δυναστείας πολυθρυλήτους διὰ τὰς παντοδαπὰς θαυματουργίας ἀπέφηνε νόμον εἰς βοήθειαν ἔδωκε προφήτας επεστησε Τοῦτο γὰρ λέγει πολὺ κατὰ πάντα τρόπον Ταῦτα μέντοι πάντα σιγήσας τοῦ νόμου τὴν θέσιν τίθησι μόνον Πρῶτον μὲν ὅτι ἐπιστεύθησαν τὰ λόγια τοῦ θεοῦ 
155	15r	Rom.3.2	νε  	πολὺ κατὰ πάντα τρόπον 	συντιθεται είναι τὸ περισσὸν καὶ ὠφέλιμον 
156	15r	Rom.3.2	νϛ  	πρῶτον μὲν ὅτι ἐπιστεύθησαν τὰ λόγια τοῦ θεοῦ 	ὅτι ὅλως φησιν ἐνεχείρισθησαν τὸν νόμον οὗτος γὰρ τὰ Λόγια τοῦ θεοῦ 
157	15r	Rom.3.3	νζ  	τι γὰρ εἰ ἠπίστησάν τινες μὴ ἡ ἀπιστία αὐτῶν τὴν πίστιν τοῦ θεοῦ καταργήσει 	εἶτα ἵνα μὴ λέγωσι ναί φησιν ενεχερισεν ἡμῖν ὁ θεὸς τὸν νόμον καί τις ὠφέλεια τοῦ νόμον ἐγχειρισθῆναι ὁπότε πολλοὶ οὐκ ἐπίστευσαν αὐτῶι καί τι φησι πρὸς τὸν θεὸν εἰ ὑμεῖς ἠπιστήσατε μὴ γὰρ ἀνάγκη σῶσαι ὑμᾶς εἶχεν ὁ θεὸς ἄκοντας μὴ γὰρ ἐπειδή φησι τινες ἠπίστησαν παρὰ τοῦτο τὴν πίστιν τοῦ θεοῦ τουτέστι τὴν εὐεργεσίαν κατήργησαν καὶ ἐματαιοποίησαν οὐ μενοῦν εἰ γὰρ καὶ αὐτοὶ οὐκ ἐβουλήθησαν σωθῆναι ὁ μέντοι θεὸς τὸ αὐτοῦ πεποίηκεν 
158	15r	Rom.3.4	νη  	μὴ γένοιτο γινέσθω δὲ ὁ θεὸς ἀληθὴς πᾶς δὲ ἄνθρωπος ψεύστης καθὼς γέγραπται 	οὐκ ἐπειδή φησιν ηπειθεσαν Ἰουδαῖοι διὰ τοῦτο παρεβλάβη τι ἡ δωρεὰ τοῦ θεοῦ ἡ ἠλαττώθη ἀλλὰ πάντα γέγονεν ἵνα δι' ἐλεγχθῇ καὶ τοῦ θεοῦ τὸ ἀληθὲς ἐφ' οἷς ἐπηγγείλατο τοῖς ἀμφὶ τὸν Ἀβραὰμ καὶ τῶν ἀνθρώπων τὸ ψεῦδος εψεσαν τὸ γὰρ τῆι ἀπιστίαι τὸν θεόν 
158ex	15r	Rom.3.4	Οικουμενιου  		θεοῖς λατρεύοντες καὶ δαίμοσιν 
158Pha	15r	Rom.3.4	Φωτ(ιου) *  		τι γὰρ εἰ ἠπίστησαν τινες μὴ ἡ ἀπιστία Ἀντιπίπτον λύει τὶ γὰρ εἰ ἠπίστησάν τινες ἀπορήσειε γὰρ ἄν τις ὅτι ἐνεπιστεύθησαν μὲν τὰ λόγια τοῦ θεοῦ τὰ δὲ λόγια τοῦ θεοῦ μεγάλας μὲν δωρεὰς καὶ εὐεργεσίας ὑπισχνεῖτο ἀλλ' ἐν τῇ τῶν παραδεξαμένων πίστει καὶ παραφυλακῇ αὗται τὴν ὑποστασιν καὶ τὴν ἔκβασιν εἶχον πολλῶν δὲ ἀπιστησάντων καὶ παραβεβηκότων ἀκολουθον κεκωλύσθαι μὲν τὰς ὑποσχέσεις εἰς πέρας ἐξελθεῖν μάτην δὲ καὶ τὰ λόγια τοῦ θεοῦ καταπιστευθῆναι τούτοις εἰς μηδὲν δὲ χρήσιμον καὶ τὴν περιτομὴν ἐξελεγχθῆναι εἴ γε ἡ μὲν περιτομὴ διὰ τὰ λόγια τὰ λόγια δὲ διὰ τὰς δωρεὰς αἱ δὲ δωρεαὶ διὰ τῆς πίστεως ἐλάμβανον πέρας τὴν πίστιν δὲ ἠθέτησαν οἱ παραβεβηκότες ὥστε οὐδεμία φησὶν ὠφέλεια τῆς περιτομῆς ταύτην οὖν ἐπιλυομενος τὴν ἀπορίαν φησὶν τὶ γὰρ εἰ ἠπίστησάν τινες μὴ ἡ ἀπιστία αὐτῶν τὴν πίστιν τοῦ θεοῦ καταργήσει τοῦτ' ἔστι τὸ πιστὸν τῶν ὑποσχέσεων αὐτοῦ τὸ ἀληθὲς τὸ ἀμετάθετον μὴ γένοιτο φησὶ διὰ τὴν ἐκείνων ἀπιστίαν ἢ τὸ ἐν ταῖς ὑποσχέσεσιν αὐτοῦ πιστὸν καὶ ἀληθὲς μάταιον ἀπελεγχθῆναι ἢ τῆς περιτομῆς τὴν νομοθεσίαν εἰς μηδὲν ὠφέλιμον χρηματίσαι τὴν γὰρ αἰτίαν ἔχειν οὐκ ἄλλος ἀλλ' οἱ παραβεβηκότες εἰσὶ δίκαιοι ἢ οὕτως μὴ γένοιτο ὑπερισχύσαι τὴν ἀπιστίαν ἐκείνων ὥστε δι' ἐκείνων καταργηθῆναι καὶ ἀτελὲς καὶ ἀνέκβατον ὀφθῆναι τὸ ἐν ταῖς ὑποσχέσεσιν αὐτοῦ πιστὸν καὶ πανάληθες κἂν γὰρ ἐκεῖνοι ἠπίστησαν αὐτὸς οὐδὲν ἔλαττον τὸ ἑαυτοῦ ἐποίησεν καὶ τὰς ἐπαγγελίας ἐξεπλήρωσεν δυνατὸν δὲ πίστιν θεοῦ ἐκλαβεῖν καὶ τὴν ἐν τοῖς μὴ παραβεβηκόσι διαμείνασαν πίστιν αὕτη γὰρ θεοῦ πίστις ὡς εἰς θεὸν οὖσα καὶ ἐκ θεοῦ αὐτοῖς διαφυλαχθεῖσα ἡ μὲν γὰρ ἀπιστία τῆς μοχθηρίας τῶν ἀπιστησάντων ἡ δὲ πίστις ἐκ θεοῦ ἑδράζεται τοῖς ἀξίοις ἡ οὖν ἐκείνων ἀπιστία μὴ γένοιτο φησὶν ὅτι εκνικᾷ τὴν εἰς θεὸν καὶ διὰ θεοῦ μεμενηκυῖαν πίστιν ὥστε τέλος ἕξουσιν αἱ ἐπαγγελίαι ὥστε ἐστὶν ὠφέλεια καὶ τῆς περιτομῆς 
158Phb	15r	Rom.3.4	Φωτ(ιου) *  		Γινέσθω δὲ ὁ θεὸς ἀληθὴς πᾶς δὲ ανθρωπο ψευδὴς καθὼς γεγρπται ὁ πᾶς ἂν δικαιωθεν Γινέσθω ὑμῖν φησὶν ὁ θεὸς ἀληθὴς λογιζέσθω νοείσθω φρονείσθω ὅτι ὁ θεὸς ἀληθὴς καὶ ὅτι πᾶς ἄνθρωπος ψεύστης εἰ οὖν τοῦτο εἰ καί τινες ἠπείθησαν οὐδὲν ἧττον ὁ θεὸς ἃ ἐπηγγείλατο τῷ Ἀβραὰμ εἰς τέλος ἄξει πῶς οὖν φησὶ καὶ ἀπιστοῦσι καὶ παρανομοῦσιν ναὶ φησὶν τὰς γὰρ οἰκείας ἐπαγγελίας αὐτοῦ ἐπάγοντος ἐκείνων παραβεβηκότων καὶ ἡμαρτηκοτων καὶ τὸ ἐκείνων ἄγνωμον καὶ ἀχάριστον ἐλέγχεται μᾶλλον οὐ μὴν ἀλλὰ καὶ τὸ ὑπερβάλλον τῆς εὐεργεσίας καὶ ἀληθείας τοῦ θεοῦ καὶ δικαιοσύνης ἐπίπλεον ἀπογυμνοῦται καὶ ἐπιδείκνυται καὶ νίκη αὐτῷ λαμπρὰ ἐκ τούτου περιγίνεται ὡς καὶ ὁ ∆αυὶδ μαρτυρεῖ λέγων ὅπως ἂν δικαιωθῇς ἐν τοῖς λόγοις σου καὶ νικήσῃς ἐν τῷ κρίνεσθαί σε ὥστε εἰ ἐκ τῆς ἐπαγγελίας τὸ πέρας τῆς ἐπαγγελίας ταύτην δὲ κατεπιστεύθησαν οἱ Ἰουδαῖοι πολὺ κατὰ πάντα τρόπον τὸ περισσὸν τοῦ Ἰουδαίου εἰ καί τινες αὐτῶν γεγόνασι παραβάται εἶτα τὶ οὖν φησὶν εἰ ἐκ τῆς ἡμῶν ἀδικίας νίκη γίνεται τῷ θεῷ 
159	15v	Rom.3.4	νθ  	ὅπως ἂν δικαιωθῇς ἐν τοῖς λόγοις σου καὶ νικήσῃς ἐν τῶι κρίνεσθαί σε 	παράγει καὶ τὸν Δαυὶδ τὸ αὐτο λέγοντα ὅτι διὰ τοῦτό φησι καὶ ἀναξίους εὐεργετεῖ θεὸς ἵνα τε δειχθῇ αὐτοῦ τὸ ἀγαθον καὶ ἵνα νικήσῃ εἰς κρίσιν τοῖς ἀνθρώποις καταστάς 
160	15v	Rom.3.5	ξ  αντιθεσις 	εἰ δὲ ἡ ἀδικία ἡμῶν θεοῦ 	ὁ θεός φησιν εὐεργέτησεν ἡμεῖς δὲ αὐτον ἐψευσάμεθα καὶ διὰ τὴν ἡμετέραν κακίαν ὤφθη μᾶλλον ἐλεήμων ὅσωι καὶ ἀναξίους εὐεργετεῖ διὰ τοῦτο τοιγαροῦν καὶ νίκα ἐν τῆι κρίσει ἡμεῖς οὖν αὐτῶι ἀγνωμονήσαντες τὴν πρόφασιν τῆς νίκης παρέσχομεν διατὶ οὖν κολάζει ἡμᾶς δι' οὓς ὤφθη νικῶν 
160ex	15v	Rom.3.5	 λυσις 		εἰ αἴτιος αὐτω σὺ τῆς νίκης κολάζει δέ σε ἀδικεῖ εἰ δὲ ἄδικος οὐκ ἐστι κολάζει δὲ ἄρα οὐ σὺ αὐτω τῆς νίκης αιτις ενης γὰρ αὐτω καὶ ἄλλως νικᾷν κἂν σὺ μὴ ὤφθης κακὸς οὐ γὰρ ὁ μὴ κακὸς ἤδη καὶ ἄξιος θεοῦ ἀγαπᾶν επιστασασθαι 
